마파, 74, 185
바자, 46, 185
사가, 53, 197
나나, 64, 146
타아, 88, 199
타하, 50, 198
아카, 84, 145
다다, 52, 152
다자, 90, 196
마다, 51, 182
하하, 46, 163
다파, 96, 191
다다, 73, 145
라타, 94, 168
라가, 47, 181
마파, 48, 155
파타, 59, 147
파다, 45, 145
가라, 78, 154
하타, 63, 196
사카, 93, 156
라차, 80, 177
가아, 73, 194
파나, 92, 159
가나, 61, 167
하사, 74, 195
라바, 83, 162
마하, 70, 178
차하, 61, 186
차자, 48, 198
바아, 55, 155
자아, 45, 187
자파, 54, 190
하마, 78, 173
마아, 53, 176
가라, 48, 140
타나, 84, 177
자마, 41, 162
카하, 72, 168
파마, 63, 195
하아, 67, 182
차나, 87, 143
마파, 47, 189
나아, 53, 175
라마, 42, 142
가하, 45, 190
자바, 86, 140
바자, 40, 161
카자, 81, 184
바파, 65, 157
자나, 75, 180
아카, 62, 197
파아, 71, 182
하타, 74, 169
파나, 80, 150
하차, 97, 194
바파, 87, 142
사카, 86, 181
가가, 40, 171
파가, 56, 179
카가, 83, 152
아마, 41, 165
라하, 51, 149
라타, 70, 148
라아, 46, 155
가차, 95, 155
타다, 56, 155
마사, 41, 186
자아, 66, 170
차자, 80, 170
파타, 90, 184
마사, 86, 161
하하, 58, 149
라마, 49, 191
자카, 46, 172
마마, 90, 187
바하, 78, 165
아자, 58, 177
하하, 43, 198
다아, 75, 181
하마, 99, 142
파아, 98, 165
아타, 46, 199
나타, 75, 199
카사, 40, 192
나파, 51, 199
사마, 84, 173
라라, 82, 151
사하, 79, 148
아자, 90, 179
카카, 52, 154
마카, 84, 188
마나, 89, 163
마아, 96, 191
파아, 81, 155
다자, 91, 186
타파, 47, 162
차라, 78, 189
하다, 48, 183
타파, 42, 171
사나, 87, 174
라라, 66, 163
카바, 94, 149
자카, 83, 184
사자, 97, 177
마나, 67, 196
카사, 47, 160
사마, 92, 161
사자, 74, 194
타나, 88, 180
사마, 84, 181
하나, 50, 193
아다, 52, 141
나파, 54, 163
나나, 90, 165
사자, 84, 152
파라, 64, 155
마하, 71, 165
가라, 84, 185
라다, 60, 188
가아, 77, 171
차차, 99, 177
다다, 59, 156
마바, 91, 158
다다, 79, 198
라라, 95, 144
마마, 82, 193
자카, 55, 166
가다, 58, 172
타가, 79, 178
바타, 59, 168
다타, 44, 193
사차, 91, 174
가마, 43, 162
가타, 61, 164
차하, 57, 143
다라, 69, 181
다카, 76, 140
사카, 46, 171
자다, 65, 146
라아, 74, 153
마가, 47, 173
다자, 66, 143
마나, 93, 175
차바, 74, 186
마사, 54, 174
라타, 47, 155
파아, 67, 172
아카, 73, 150
하아, 50, 170
아타, 86, 195
마라, 86, 181
나나, 81, 158
타바, 86, 188
자사, 82, 158
마라, 69, 166
라하, 49, 141
차다, 50, 145
마나, 70, 192
라타, 64, 153
사다, 79, 176
하파, 71, 168
카자, 55, 147
사하, 91, 175
타차, 46, 179
카자, 76, 179
타사, 59, 177
자아, 79, 170
다가, 88, 157
타하, 59, 152
자차, 55, 163
나차, 60, 179
사자, 54, 168
라가, 95, 186
카사, 49, 144
다사, 99, 198
라차, 85, 182
아자, 62, 185
차가, 56, 141
다차, 45, 146
바나, 57, 187
타바, 53, 143
파카, 80, 196
바바, 40, 164
마아, 83, 159
타아, 85, 162
카카, 54, 157
카카, 67, 157
파타, 61, 171
마다, 92, 167
라타, 66, 143
아타, 58, 151
카카, 67, 157
차나, 83, 163
다차, 97, 171
차자, 46, 155
카카, 84, 171
다타, 71, 198
라자, 93, 170
자차, 99, 155
라하, 80, 159
파사, 91, 173
파라, 50, 160
파타, 51, 144
라타, 71, 149
아마, 63, 145
바마, 54, 161
아마, 45, 141
차자, 64, 160
차차, 99, 164
라라, 71, 173
타라, 69, 148
나바, 40, 193
마라, 47, 142
하타, 63, 159
바사, 42, 151
타나, 66, 171
다가, 98, 143
자마, 91, 192
차라, 44, 160
아카, 60, 151
타다, 66, 187
가타, 54, 146
파차, 74, 168
바파, 65, 166
바자, 42, 156
사나, 78, 174
카다, 58, 189
카라, 48, 194
자사, 86, 176
자차, 98, 173
타사, 68, 143
마타, 64, 164
아다, 82, 162
나파, 53, 180
하다, 61, 152
자카, 49, 174
가나, 60, 158
바가, 42, 160
다자, 73, 178
타바, 44, 149
아라, 73, 195
자다, 54, 150
마차, 69, 155
가마, 80, 160
바나, 43, 195
파바, 86, 144
카라, 88, 177
가차, 80, 181
카아, 74, 189
파파, 64, 188
다카, 89, 150
사하, 43, 189
사카, 97, 178
마나, 69, 191
타아, 45, 171
카사, 85, 150
타타, 83, 189
아나, 86, 158
타파, 54, 171
사라, 50, 149
가파, 49, 187
아라, 86, 179
마하, 55, 151
하카, 70, 167
가차, 98, 154
가하, 68, 173
카가, 73, 174
가가, 71, 142
카파, 45, 195
마파, 52, 146
나바, 56, 148
가가, 40, 166
타카, 50, 184
카라, 70, 144
사차, 44, 168
아파, 81, 151
나아, 98, 143
다카, 64, 142
마카, 43, 183
나자, 51, 199
마파, 66, 171
사라, 72, 155
다자, 40, 164
다타, 73, 181
차자, 42, 162
하라, 44, 167
다다, 91, 159
사마, 74, 195
마하, 75, 163
차자, 56, 170
카자, 94, 157
다라, 57, 191
하다, 62, 153
카파, 76, 150
아나, 84, 189
라차, 63, 151
카파, 63, 199
나사, 95, 192
